Strategy,Loans,Approval_Pct,ECL_12M_M,ECL_IFRS9_M,ECL_Rate,S1_pct,S2_pct,S3_pct,NI_M
"Incumbent (bureau cutoff, 50%)",30751,0.49999187031526915,2030.5366354394728,3954.115884307454,0.10497277432593627,0.354980325843062,0.6167604305551039,0.028259243601834086,-289.6252575794729
"Recommended (SC3, 61.9%)",38070,0.6189941954051021,2852.8489915842047,5540.2594330420425,0.12004244969903667,0.2867349619122669,0.6786971368531652,0.0345679012345679,-713.9688713742048
