q,incumbent_approval,incumbent_default,custom_approval,custom_default
0.05,0.0500138204640424,0.014629388816644993,0.0500138204640424,0.010078023407022107
0.06,0.06001333268295855,0.015984827959902467,0.06001333268295855,0.010024383635871038
0.07,0.0700128449018747,0.015559684161634928,0.0700128449018747,0.01114723641430562
0.08,0.08001235712079086,0.015037593984962405,0.08001235712079086,0.011176590123958545
0.09,0.090011869339707,0.016618497109826588,0.090011869339707,0.011741329479768785
0.09999999999999999,0.10001138155862316,0.017070395057714193,0.10001138155862316,0.013168590473093806
0.10999999999999999,0.11001089377753931,0.017735737511084836,0.11001089377753931,0.013301803133313627
0.12,0.12001040599645546,0.018290204579325293,0.12001040599645546,0.014632163663460237
0.13,0.1300099182153716,0.018884442221110555,0.1300099182153716,0.015132566283141571
0.13999999999999999,0.14000943043428776,0.01962605969109279,0.14000943043428776,0.015096968993148299
0.14999999999999997,0.1500089426532039,0.0204855842185129,0.1500089426532039,0.015391285497507045
0.15999999999999998,0.16000845487212007,0.020831216339802866,0.16000845487212007,0.015140737729905497
0.16999999999999998,0.17000796709103622,0.020562356541698548,0.17000796709103622,0.015206579954093344
0.18,0.18000747930995237,0.020504019510432663,0.18000747930995237,0.015445759190678348
0.19,0.19000699152886852,0.021564264932397742,0.19000699152886852,0.016173198699298307
0.19999999999999996,0.20000650374778467,0.02227461182017722,0.20000650374778467,0.01634013494837818
0.20999999999999996,0.21000601596670082,0.022685041808609478,0.21000601596670082,0.017652524001238772
0.21999999999999997,0.22000552818561697,0.022762545266425245,0.22000552818561697,0.018254378833789078
0.22999999999999998,0.23000504040453312,0.023398840661671142,0.23000504040453312,0.018591828078608794
0.24,0.24000455262344927,0.023914368945193415,0.24000455262344927,0.019172142808752794
0.24999999999999994,0.2500040648423654,0.02399843912591051,0.2500040648423654,0.019315816857440167
0.25999999999999995,0.2600035770612816,0.025139140766681257,0.2600035770612816,0.01957351009943093
0.26999999999999996,0.27000308928019773,0.02535228230759966,0.27000308928019773,0.019932554498374083
0.27999999999999997,0.2800026014991139,0.02584054352244353,0.2800026014991139,0.020556297543696648
0.29,0.29000211371803003,0.02663153173357255,0.29000211371803003,0.02085669432608208
0.3,0.3000016259369462,0.026882011815077773,0.3000016259369462,0.021299658555091864
0.30999999999999994,0.31000113815586233,0.027640826602328753,0.31000113815586233,0.021714045945662435
0.31999999999999995,0.3200006503747785,0.028453838727706925,0.3200006503747785,0.021797672882475486
0.32999999999999996,0.33000016259369463,0.029414662987780844,0.33000016259369463,0.022319668900275917
0.33999999999999997,0.3399996748126108,0.029745110229066042,0.3399996748126108,0.022619673855865333
0.3499999999999999,0.34999918703152694,0.030521230140295456,0.34999918703152694,0.02299544736597603
0.35999999999999993,0.3599986992504431,0.030892913599205096,0.3599986992504431,0.023395510591210877
0.36999999999999994,0.36999821146935924,0.031552118122692915,0.36999821146935924,0.02364211636491475
0.37999999999999995,0.3799977236882754,0.031877112660990116,0.3799977236882754,0.023961319584099954
0.38999999999999996,0.38999723590719154,0.032310514466772286,0.38999723590719154,0.02443091803552072
0.3999999999999999,0.3999967481261077,0.03255965204666477,0.3999967481261077,0.024795740010568675
0.4099999999999999,0.40999626034502384,0.03327252538071066,0.40999626034502384,0.025341053299492385
0.41999999999999993,0.41999577256394,0.03399016685378034,0.41999577256394,0.02562812124966126
0.42999999999999994,0.42999528478285615,0.03433411479996975,0.42999528478285615,0.026053089314073963
0.43999999999999995,0.4399947970017723,0.03473633642511363,0.4399947970017723,0.026643509109049925
0.4499999999999999,0.44999430922068845,0.03504841740135858,0.44999430922068845,0.027135424194247724
