Policy,Approval Rate,Approved Loans,Default Rate,Defaults in Book,Portfolio RAROC,EL Rate,Role
Baseline (No Model),1.0,61503,0.08072776937710356,4965,-0.5577250051060925,0.1811259661794132,BASELINE
Aggressive (Challenger 1),0.4565468351137343,28079,0.026247373481961607,737,-0.014638572563532508,0.09949931221207842,CHALLENGER
RAROC Gated (Challenger 2),0.1224493114157033,7531,0.012747311114061877,96,0.38521658254490965,0.05442145110256938,CHALLENGER
Risk-Based Pricing (Champion),0.4565468351137343,28079,0.026247373481961607,737,0.4913759205587636,0.09949931221207842,CHAMPION
